NOME_MUN,COD_MUN
Matozinhos,3141108
Barão de Cocais,3105400
Mateus Leme,3140704
Ibiá,3129509
Vazante,3171006
Guaranésia,3128303
Carandaí,3113206
Itaú de Minas,3133758
Conceição das Alagoas,3117306
Barroso,3105905
Santa Vitória,3159803
Várzea da Palma,3170800
Rio Piracicaba,3155702
Santa Bárbara,3157203
Mariana,3140001
Paraguaçu,3147204
Sacramento,3156908
Paraisópolis,3147303
Itamonte,3133006
Nova Era,3144706
Sarzedo,3165537
Carmo do Cajuru,3114204
Santana do Paraíso,3158953
Coromandel,3119302
Monte Alegre de Minas,3142809
Itabirito,3131901
Aimorés,3101102
Visconde do Rio Branco,3172004
São José da Lapa,3162955
Carlos Chagas,3113701
